CANDIDATE_ID,PARTY,CANDIDATE,VOTES,PERCENTILE,RACE_TYPE
326,DEMOCRATIC,"DE BLASIO, BILL","326,361",74.60%,PRIMARY
AU,DEMOCRATIC,"ALBANESE, SAL","66,636",15.20%,PRIMARY
2026,DEMOCRATIC,"TOLKIN, MICHAEL","20,445",4.70%,PRIMARY
2054,DEMOCRATIC,"GANGI, ROBERT","13,537",3.10%,PRIMARY
2084,DEMOCRATIC,"BASHNER, RICHARD","10,538",2.40%,PRIMARY
2071,REPUBLICAN,"MALLIOTAKIS, NICOLE",,,PRIMARY
326,DEMOCRATIC,"DE BLASIO, BILL","760,112",66.17%,GENERAL
2071,REPUBLICAN,"MALLIOTAKIS, NICOLE","316,947",27.59%,GENERAL
AU,REFORM,"ALBANESE, SAL","24,484",2.13%,GENERAL
2139,GREEN,"BROWDER, AKEEM","16,536",1.44%,GENERAL
2026,SMALL CITIES PARTY,"TOLKIN, MICHAEL","11,309",0.99%,GENERAL
1975,DUMP THE MAYOR,"DIETL, BO","11,163",0.97%,GENERAL
2103,LIBERTARIAN,"COMMEY, AARON","2,770",0.24%,GENERAL
,WRITE-IN,,"5,343",0.47%,GENERAL
